danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,audio_features,7dS5EaCoMnN7DzlpT6aRn2,spotify:track:7dS5EaCoMnN7DzlpT6aRn2,https://api.spotify.com/v1/tracks/7dS5EaCoMnN7DzlpT6aRn2,https://api.spotify.com/v1/audio-analysis/7dS5EaCoMnN7DzlpT6aRn2,241688,4
0.768,0.82,7,-4.63,0,0.0474,0.179,0.0,0.689,0.625,129.965,audio_features,2V4bv1fNWfTcyRJKmej6Sj,spotify:track:2V4bv1fNWfTcyRJKmej6Sj,https://api.spotify.com/v1/tracks/2V4bv1fNWfTcyRJKmej6Sj,https://api.spotify.com/v1/audio-analysis/2V4bv1fNWfTcyRJKmej6Sj,213293,4
0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,audio_features,7KA4W4McWYRpgf0fWsJZWB,spotify:track:7KA4W4McWYRpgf0fWsJZWB,https://api.spotify.com/v1/tracks/7KA4W4McWYRpgf0fWsJZWB,https://api.spotify.com/v1/audio-analysis/7KA4W4McWYRpgf0fWsJZWB,180387,4
0.679,0.715,9,-6.383,1,0.0407,0.0755,0.0,0.271,0.571,127.435,audio_features,3gbBpTdY8lnQwqxNCcf795,spotify:track:3gbBpTdY8lnQwqxNCcf795,https://api.spotify.com/v1/tracks/3gbBpTdY8lnQwqxNCcf795,https://api.spotify.com/v1/audio-analysis/3gbBpTdY8lnQwqxNCcf795,214148,4
0.778,0.824,10,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024,audio_features,3ZFTkvIE7kyPt6Nu3PEa7V,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,https://api.spotify.com/v1/tracks/3ZFTkvIE7kyPt6Nu3PEa7V,https://api.spotify.com/v1/audio-analysis/3ZFTkvIE7kyPt6Nu3PEa7V,218093,4
0.421,0.873,10,-4.343,1,0.0564,0.0654,0.0,0.123,0.629,84.786,audio_features,7wMq5n8mYSKlQIGECKUgTX,spotify:track:7wMq5n8mYSKlQIGECKUgTX,https://api.spotify.com/v1/tracks/7wMq5n8mYSKlQIGECKUgTX,https://api.spotify.com/v1/audio-analysis/7wMq5n8mYSKlQIGECKUgTX,202533,4
0.497,0.865,0,-3.19,1,0.0644,0.0306,0.0679,0.443,0.595,125.96,audio_features,78W8wiUIlQ2SnWY9TVowKZ,spotify:track:78W8wiUIlQ2SnWY9TVowKZ,https://api.spotify.com/v1/tracks/78W8wiUIlQ2SnWY9TVowKZ,https://api.spotify.com/v1/audio-analysis/78W8wiUIlQ2SnWY9TVowKZ,174203,4
0.616,0.789,7,-4.874,0,0.0377,0.053,0.0,0.142,0.621,83.066,audio_features,2jcPoPin36hyNRSi4ZsqeB,spotify:track:2jcPoPin36hyNRSi4ZsqeB,https://api.spotify.com/v1/tracks/2jcPoPin36hyNRSi4ZsqeB,https://api.spotify.com/v1/audio-analysis/2jcPoPin36hyNRSi4ZsqeB,227373,4
0.751,0.783,4,-3.724,1,0.0859,0.00379,0.0,0.036,0.816,119.975,audio_features,2CEgGE6aESpnmtfiZwYlbV,spotify:track:2CEgGE6aESpnmtfiZwYlbV,https://api.spotify.com/v1/tracks/2CEgGE6aESpnmtfiZwYlbV,https://api.spotify.com/v1/audio-analysis/2CEgGE6aESpnmtfiZwYlbV,202613,4
0.709,0.854,0,-4.447,0,0.0399,0.047,0.0,0.0724,0.826,105.074,audio_features,0tBRo4P60DgKmg4jt48upm,spotify:track:0tBRo4P60DgKmg4jt48upm,https://api.spotify.com/v1/tracks/0tBRo4P60DgKmg4jt48upm,https://api.spotify.com/v1/audio-analysis/0tBRo4P60DgKmg4jt48upm,224402,4
